stt,source,category,title,content,link,label
11,Dân Trí,giai-tri,"Rosé (Blackpink) gây tranh cãi khi mặc ""váy ngủ"" lên sân khấu","Mới đây, Rosé lại khiến mạng xã hội và cộng đồng mạng ""dậy sóng"" khi mặc một chiếc váy ngắn, mỏng như váy ngủ lên sân khấu trình diễn tại Indonesia. Sự xuất hiện của cô nằm trong khuôn khổ tour lưu diễn toàn thế giới của nhóm nhạc Blackpink, nơi Rosé là một trong 4 thành viên. Hình ảnh ca sĩ Rosé mặc chiếc váy giống đồ ngủ lên sân khấu trình diễn được người hâm mộ ghi lại (",https://dantri.com.vn/giai-tri/rose-blackpink-gay-tranh-cai-khi-mac-vay-ngu-len-san-khau-20251104153422215.htm,1
12,Dân Trí,giai-tri,Căng thẳng tại Hoa hậu Hoàn vũ 2025: Nhiều thí sinh bức xúc bỏ về,"Hoa hậu Hoàn vũ Mexico là người đầu tiên rời khỏi khán phòng, sau đó là đương kim Hoa hậu Hoàn vũ Victoria Theilvig và nhiều đại diện khác. Theo Missosology, nguyên nhân bắt nguồn khi ông Nawat bày tỏ thái độ gay gắt vì phát hiện một số thí sinh sử dụng ê-kíp trang điểm riêng, điều bị xem là vi phạm quy định của ban tổ chức. Hoa hậu Hoàn vũ Mexico - một trong những thí sinh mạnh tại mùa giải năm nay - đã bỏ về giữa buổi họp báo trao sash, ngày 4/11 (",https://dantri.com.vn/giai-tri/cang-thang-tai-hoa-hau-hoan-vu-2025-nhieu-thi-sinh-buc-xuc-bo-ve-20251104161956696.htm,1
13,Dân Trí,giai-tri,Đương kim hoa hậu giải thích lý do bỏ về giữa sự kiện Hoa hậu Hoàn vũ 2025,"Chiều 14/11, lễ trao sash (dải băng ghi tên quốc gia) của cuộc thi Hoa hậu Hoàn vũ 2025 đã không thể trọn vẹn do tranh cãi căng thẳng giữa ông Nawat - đại diện Tổ chức Hoa hậu Hoàn vũ Thái Lan (MUT) - và một số thí sinh. Đương kim Hoa hậu Hoàn vũ Victoria Kjær Theilvig lên tiếng bảo vệ các thí sinh tại mùa giải năm nay (",https://dantri.com.vn/giai-tri/duong-kim-hoa-hau-giai-thich-ly-do-bo-ve-giua-su-kien-hoa-hau-hoan-vu-2025-20251104174147480.htm,1
14,Dân Trí,giai-tri,"Vợ rapper Kanye West lại gây tranh cãi với mốt ""không nội y""","Mới đây, Bianca bị bắt gặp diện bodysuit (bộ đồ ôm sát) xanh lam bó sát cơ thể, không mặc nội y, kết hợp với quần giữ ấm, tất và giày cao gót cùng tông màu. Bộ trang phục xuyên thấu của cô nhanh chóng gây tranh cãi trên mạng xã hội. Sau một thời gian ăn mặc kín đáo, Bianca dường như quay lại với phong cách gợi cảm quen thuộc. Cô thường xuyên theo đuổi mốt “không nội y”, ưa chuộng những bộ đồ có chất liệu co giãn ôm sát và thiết kế cắt xẻ mạnh tay. Đôi khi, người đẹp còn chọn các chất liệu lạ như nylon, kẹo tan chảy hay thậm chí là gối để tạo điểm nhấn thời trang. Bianca gây chú ý với bộ đồ ôm sát và không mặc nội y khi xuống phố (",https://dantri.com.vn/giai-tri/vo-rapper-kanye-west-lai-gay-tranh-cai-voi-mot-khong-noi-y-20251104133324912.htm,1
15,Dân Trí,giai-tri,"Tuấn Hưng phải hủy show ở châu Âu, về Việt Nam vì mẹ ốm nặng","Chia sẻ với phóng viên , đại diện của Tuấn Hưng cho biết, nam ca sĩ vừa phải hủy 2 show diễn châu Âu, bay về Việt Nam khẩn cấp vì mẹ bệnh nặng. ""Mẹ anh Tuấn Hưng đang điều trị tại một bệnh viện ở Hà Nội. Thời gian này, vợ chồng anh ấy dành toàn bộ thời gian ở bên mẹ để chăm sóc bà"", đại diện ca sĩ cho biết. Mẹ Tuấn Hưng xem con dâu như con gái (",https://dantri.com.vn/giai-tri/tuan-hung-phai-huy-show-o-chau-au-ve-viet-nam-vi-me-om-nang-20251104185509648.htm,1
16,Dân Trí,giai-tri,Hương Giang quyến rũ dự tiệc tối Hoa hậu Hoàn vũ giữa sóng gió đấu tố,"Xuất hiện tại sự kiện, đại diện Việt Nam chọn đầm quây ôm sát, tôn lên vóc dáng cân đối. Hương Giang tiết lộ cô ở cùng phòng với thí sinh nước chủ nhà Thái Lan - một trong những gương mặt được các chuyên trang sắc đẹp đánh giá cao trong mùa giải năm nay. Người đẹp Việt Nam tự tin tạo dáng trước ống kính, giao lưu với truyền thông quốc tế. Giữ vững phong độ với vẻ ngoài xinh đẹp và chỉn chu, Hương Giang nhận được nhiều lời khen từ khán giả Việt Nam lẫn quốc tế. Hương Giang đẹp quyến rũ tại tiệc của Hoa hậu Hoàn vũ 2025, tối 4/11 (",https://dantri.com.vn/giai-tri/huong-giang-quyen-ru-du-tiec-toi-hoa-hau-hoan-vu-giua-song-gio-dau-to-20251104192413673.htm,1
17,Dân Trí,giai-tri,"""Tôi! Người Việt Nam"" quyên góp hơn 5,3 tỷ đồng gửi tặng đồng bào vùng lũ","Tối 4/11, đại diện ban tổ chức đêm nhạc MC Anh Tuấn - chính thức công bố tổng số tiền quyên góp từ chương trình là 5.337.579.538 đồng. Khoản tiền này bao gồm doanh thu bán vé, tiền ủng hộ đấu giá tại chỗ và tiền gửi về tài khoản chính thức của chương trình. Cùng với thông báo này, ban tổ chức cũng đã công khai sao kê, tổng hợp chi tiết các khoản, nguồn thu để đảm bảo tính minh bạch, trước khi gửi toàn bộ số tiền đến Quỹ ủng hộ đồng bào vùng lũ lụt của Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam. Ban tổ chức thông báo số tiền góp được sau đêm nhạc ""Tôi! Người Việt Nam"" (",https://dantri.com.vn/giai-tri/toi-nguoi-viet-nam-quyen-gop-hon-53-ty-dong-gui-tang-dong-bao-vung-lu-20251104224340973.htm,1
18,Dân Trí,giai-tri,"Hoa hậu Kiều Duy: ""Tôi không áp lực sau thành công của chị Thanh Thủy""","Ngày 4/11, Hoa hậu Nguyễn Ngọc Kiều Duy có buổi gặp gỡ truyền thông, chia sẻ về quá trình chuẩn bị trước khi chính thức lên đường dự thi Miss International 2025 (Hoa hậu Quốc tế 2025). Trong vài ngày tới, người đẹp sinh năm 2003 sẽ ""nối gót"" Hoa hậu Thanh Thủy, đại diện Việt Nam chinh phục đấu trường sắc đẹp này. Khi được hỏi về áp lực sau thành tích của Hoa hậu Thanh Thủy, Kiều Duy thẳng thắn chia sẻ: ""Việc đại diện Việt Nam giành vương miện Miss International là điều vô cùng tự hào. Tuy nhiên, điều khiến tôi áp lực không phải là kết quả của chị Thanh Thủy, mà là làm sao để trở thành phiên bản tốt nhất của chính mình. Đã có những lúc lo lắng, trăn trở, nhưng nhờ sự đồng hành của những người yêu thương, tôi đã tự tin hơn rất nhiều"". Hoa hậu Kiều Duy và Hoa hậu Thanh Thủy tại sự kiện (",https://dantri.com.vn/giai-tri/hoa-hau-kieu-duy-toi-khong-ap-luc-sau-thanh-cong-cua-chi-thanh-thuy-20251105062142623.htm,1
19,Dân Trí,giai-tri,Quảng Ninh tổ chức hòa nhạc “Đất mỏ anh hùng” với 30.000 khán giả,"Chiều 4/11, Sở Văn hóa - Thể thao và (VH-TT&DL) Quảng Ninh tổ chức họp báo cung cấp thông tin về chương trình nghệ thuật “Quảng Ninh - Đất mỏ anh hùng” và chuỗi hoạt động chào mừng 89 năm Ngày Truyền thống Công nhân vùng Mỏ - Ngày Miền mỏ bất khuất (12/11/1936-12/11/2025). Sở VH-TT&DL Quảng Ninh tổ chức họp báo công bố thông tin về chương trình nghệ thuật (",https://dantri.com.vn/giai-tri/quang-ninh-to-chuc-hoa-nhac-dat-mo-anh-hung-voi-30000-khan-gia-20251105075537383.htm,1
20,Dân Trí,giai-tri,"NSƯT Kiều Hưng - ""giọng ca cách mạng huyền thoại"" của Việt Nam - qua đời","Theo thông tin từ gia đình NSƯT Kiều Hưng, nam nghệ sĩ gạo cội đã trút hơi thở cuối cùng vào rạng sáng ngày 30/10 tại Bệnh viện Vivantes Friedrichshain (Đức), hưởng thọ 88 tuổi. Anh Kiều Hải - con trai của NSƯT Kiều Hưng - thông báo tin buồn trên trang cá nhân: “Giọng ca vàng huyền thoại của âm nhạc Việt Nam, người hát đã truyền cảm hứng cho nhiều thế hệ, nghệ sĩ suốt đời cống hiến cho quê hương, đất nước và nhân dân, đã vĩnh viễn ra đi”. Anh Kiều Hải thông tin thêm, vì gia đình có một số người thân ở xa nên chưa thể sắp xếp ngày tổ chức tang lễ, gia đình sẽ thông báo cụ thể sau. NSƯT Kiều Hưng qua đời ở tuổi 88 (",https://dantri.com.vn/giai-tri/nsut-kieu-hung-giong-ca-cach-mang-huyen-thoai-cua-viet-nam-qua-doi-20251105085417897.htm,1
21,Dân Trí,giai-tri,"Sóng gió đấu tố chưa có hồi kết, Hoa hậu Hoàn vũ 2025 ngập trong ồn ào","Trước đó, lễ trao sash (dải băng ghi tên quốc gia) cho 122 thí sinh tối 4/11 đã diễn ra sau nhiều sóng gió. Kết thúc sự kiện, các người đẹp ra về trong không khí vui vẻ, sẵn sàng bước vào chuỗi hoạt động chính thức. Hương Giang (trái) chính thức nhận sash đại diện Việt Nam tham dự cuộc thi Hoa hậu Hoàn vũ 2025, tối 4/11 (",https://dantri.com.vn/giai-tri/song-gio-dau-to-chua-co-hoi-ket-hoa-hau-hoan-vu-2025-ngap-trong-on-ao-20251105090918731.htm,1
22,Dân Trí,giai-tri,Vụ người mẫu tử vong trong bồn tắm: Cảnh sát điều tra theo hướng giết người,"Ngày 22/10, nữ người mẫu 31 tuổi được phát hiện nằm bất động trong bồn tắm của một khách sạn ở Kuala Lumpur (Malaysia). Theo trang Sohu, vụ việc xảy ra từ ngày 22/10 nhưng đến sáng 3/11, cơ quan điều tra mới chính thức công bố thông tin. Báo cáo pháp y ban đầu không ghi nhận vết thương bên ngoài, nguyên nhân tạm thời được xác định là ngừng tim đột ngột. Thời điểm xảy ra sự việc, người ở cùng phòng với Tạ Hữu Tâm là ca sĩ - đạo diễn người Malaysia gốc Hoa Namewee. Cảnh sát Malaysia thông báo nâng vụ tử vong của người mẫu Tạ Hữu Tâm thành án giết người (",https://dantri.com.vn/giai-tri/vu-nguoi-mau-tu-vong-trong-bon-tam-canh-sat-dieu-tra-theo-huong-giet-nguoi-20251105095811112.htm,1
23,Dân Trí,giai-tri,"Hồng Nhung cất giọng sau phẫu thuật ung thư, nói biết ơn nhạc sĩ Dương Thụ","Hồng Nhung khoe giọng hát luyến láy, cao vút với ca khúc ""Họa mi hót trong mưa"" sau khi cô trải qua phẫu thuật ung thư (",https://dantri.com.vn/giai-tri/hong-nhung-cat-giong-sau-phau-thuat-ung-thu-noi-biet-on-nhac-si-duong-thu-20251105101647000.htm,1
24,Dân Trí,giai-tri,Quách Ngọc Ngoan hé lộ lý do tái xuất điện ảnh sau 7 năm,"Tối 4/11, phim tổ chức công chiếu tại TPHCM, có sự tham gia của đạo diễn Quốc Công cùng dàn diễn viên: Quách Ngọc Ngoan, Xuân Văn, Việt Hưng, Phạm Nhật Linh, Trần Nghĩa... được lấy cảm hứng từ cuốn tiểu thuyết kinh điển của nhà văn Pháp Catherine Arley. Phim thuộc thể loại tâm lý, ly kỳ, xây dựng bối cảnh ở Đà Lạt (cũ) thập niên 1990, nơi có vụ án mạng bí ẩn làm chấn động vùng quê yên bình. Quách Ngọc Ngoan trở thành tâm điểm chú ý trong dàn diễn viên (",https://dantri.com.vn/giai-tri/quach-ngoc-ngoan-he-lo-ly-do-tai-xuat-dien-anh-sau-7-nam-20251105085823486.htm,1
25,Dân Trí,giai-tri,"Hoàng Phúc: Tài tử thập niên 1990 lấy vợ CEO, chăm con nhỏ ở tuổi U60","Diễn viên Hoàng Phúc sinh năm 1967, quê ở Tiền Giang (cũ), là một trong những tài tử của màn ảnh thập niên 1990. Anh cùng thời với Lý Hùng, Lê Tuấn Anh, Lê Công Tuấn Anh, từng là người tình màn ảnh của nhiều mỹ nhân như Diễm Hương, Việt Trinh... Diễn viên Hoàng Phúc là một trong những gương mặt được yêu thích của màn ảnh thập niên 1990 (",https://dantri.com.vn/giai-tri/hoang-phuc-tai-tu-thap-nien-1990-lay-vo-ceo-cham-con-nho-o-tuoi-u60-20251031140940394.htm,1
26,Dân Trí,giai-tri,Những lợi thế của Hương Giang tại Hoa hậu Hoàn vũ 2025,"Ở tuổi 34, Hương Giang thuộc nhóm thí sinh lớn tuổi nhất trong lịch sử cuộc thi và là người chuyển giới đầu tiên của Việt Nam và châu Á góp mặt tại đấu trường sắc đẹp khốc liệt nhất hành tinh. Trong khi phần lớn đối thủ ở độ tuổi 20-26 sở hữu sức trẻ và sự dẻo dai, Hương Giang lại nổi bật nhờ kinh nghiệm, bản lĩnh sân khấu và khả năng xử lý truyền thông chuyên nghiệp. Hương Giang nhận được sự ưu ái của truyền thông Thái Lan (",https://dantri.com.vn/giai-tri/nhung-loi-the-cua-huong-giang-tai-hoa-hau-hoan-vu-2025-20251105144323626.htm,1
